inst#,    actual, predicted, error, probability distribution
   228          ?        1:0      +  *0.999  0.001
   229          ?        1:0      +  *0.999  0.001
   230          ?        2:1      +   0.193 *0.807
   231          ?        2:1      +   0.193 *0.807
   232          ?        2:1      +   0.193 *0.807
   233          ?        2:1      +   0.193 *0.807
   234          ?        1:0      +  *0.955  0.045
   235          ?        1:0      +  *0.999  0.001
   236          ?        1:0      +  *0.999  0.001
   237          ?        1:0      +  *0.999  0.001
   238          ?        1:0      +  *1      0    
   239          ?        2:1      +   0.118 *0.882
   240          ?        2:1      +   0.118 *0.882
   241          ?        2:1      +   0.118 *0.882
   242          ?        2:1      +   0.193 *0.807
   243          ?        2:1      +   0.193 *0.807
   244          ?        1:0      +  *1      0    
   245          ?        1:0      +  *0.999  0.001
   246          ?        2:1      +   0.118 *0.882
   247          ?        1:0      +  *1      0    
   248          ?        2:1      +   0.193 *0.807
   249          ?        2:1      +   0.118 *0.882
   250          ?        2:1      +   0.118 *0.882
   251          ?        2:1      +   0.193 *0.807
   252          ?        2:1      +   0.193 *0.807
   253          ?        2:1      +   0.193 *0.807
   254          ?        2:1      +   0.118 *0.882
   255          ?        2:1      +   0.118 *0.882
   256          ?        1:0      +  *0.999  0.001
   257          ?        1:0      +  *0.999  0.001
   258          ?        1:0      +  *0.999  0.001
   259          ?        2:1      +   0.193 *0.807
   260          ?        2:1      +   0.193 *0.807
   261          ?        2:1      +   0.193 *0.807
   262          ?        1:0      +  *0.999  0.001
   263          ?        1:0      +  *0.999  0.001
   264          ?        1:0      +  *1      0    
   265          ?        2:1      +   0.118 *0.882
   266          ?        2:1      +   0.118 *0.882
   267          ?        1:0      +  *1      0    
   268          ?        1:0      +  *0.999  0.001
   269          ?        1:0      +  *0.999  0.001
   270          ?        1:0      +  *0.999  0.001
   271          ?        2:1      +   0.193 *0.807
   272          ?        1:0      +  *0.999  0.001
   273          ?        1:0      +  *0.999  0.001
   274          ?        1:0      +  *0.955  0.045
   275          ?        2:1      +   0.118 *0.882
   276          ?        1:0      +  *0.999  0.001
   277          ?        1:0      +  *0.955  0.045
   278          ?        1:0      +  *0.999  0.001
   279          ?        1:0      +  *0.923  0.077
   280          ?        2:1      +   0.118 *0.882
   281          ?        2:1      +   0.118 *0.882
   282          ?        2:1      +   0.193 *0.807
   283          ?        2:1      +   0.193 *0.807
   284          ?        2:1      +   0.118 *0.882
   285          ?        2:1      +   0.118 *0.882
   286          ?        2:1      +   0.118 *0.882
   287          ?        1:0      +  *1      0    
   288          ?        1:0      +  *0.999  0.001
   289          ?        1:0      +  *0.999  0.001
   290          ?        2:1      +   0.193 *0.807
   291          ?        2:1      +   0.193 *0.807
   292          ?        2:1      +   0.193 *0.807
   293          ?        2:1      +   0.193 *0.807
   294          ?        2:1      +   0.193 *0.807
   295          ?        1:0      +  *0.999  0.001
   296          ?        2:1      +   0.193 *0.807
   297          ?        2:1      +   0.193 *0.807
   298          ?        2:1      +   0.118 *0.882
   299          ?        2:1      +   0.193 *0.807
   300          ?        2:1      +   0.193 *0.807
   301          ?        2:1      +   0.118 *0.882
   302          ?        2:1      +   0.193 *0.807
   303          ?        2:1      +   0.118 *0.882
   304          ?        2:1      +   0.118 *0.882
   305          ?        2:1      +   0.193 *0.807
   306          ?        2:1      +   0.193 *0.807
   307          ?        2:1      +   0.193 *0.807
   308          ?        1:0      +  *0.999  0.001
   309          ?        2:1      +   0.193 *0.807
   310          ?        1:0      +  *1      0    
   311          ?        2:1      +   0.193 *0.807
   312          ?        1:0      +  *0.999  0.001
   313          ?        1:0      +  *0.999  0.001
   314          ?        2:1      +   0.193 *0.807
   315          ?        1:0      +  *0.999  0.001
   316          ?        1:0      +  *0.999  0.001
   317          ?        2:1      +   0.118 *0.882
   318          ?        1:0      +  *0.999  0.001
   319          ?        2:1      +   0.193 *0.807
   320          ?        1:0      +  *1      0    
   321          ?        2:1      +   0.193 *0.807
   322          ?        2:1      +   0.193 *0.807
   323          ?        1:0      +  *0.999  0.001
   324          ?        2:1      +   0.193 *0.807
   325          ?        2:1      +   0.193 *0.807
   326          ?        2:1      +   0.193 *0.807
   327          ?        2:1      +   0.118 *0.882
   328          ?        1:0      +  *1      0    
   329          ?        2:1      +   0.193 *0.807
   330          ?        1:0      +  *1      0    
   331          ?        2:1      +   0.118 *0.882
   332          ?        2:1      +   0.193 *0.807
   333          ?        2:1      +   0.118 *0.882
   334          ?        1:0      +  *1      0    
   335          ?        2:1      +   0.193 *0.807
   336          ?        1:0      +  *1      0    
   337          ?        2:1      +   0.193 *0.807
   338          ?        2:1      +   0.193 *0.807
   339          ?        1:0      +  *0.999  0.001
   340          ?        2:1      +   0.193 *0.807
   341          ?        1:0      +  *0.999  0.001
   342          ?        2:1      +   0.118 *0.882
   343          ?        1:0      +  *0.999  0.001
   344          ?        2:1      +   0.118 *0.882
   345          ?        1:0      +  *0.999  0.001
   346          ?        2:1      +   0.193 *0.807
   347          ?        2:1      +   0.193 *0.807
   348          ?        2:1      +   0.118 *0.882
   349          ?        2:1      +   0.193 *0.807
   350          ?        1:0      +  *0.999  0.001
   351          ?        2:1      +   0.118 *0.882
   352          ?        1:0      +  *0.999  0.001
   353          ?        1:0      +  *0.999  0.001
   354          ?        2:1      +   0.118 *0.882
   355          ?        2:1      +   0.118 *0.882
   356          ?        2:1      +   0.118 *0.882
   357          ?        1:0      +  *0.955  0.045
   358          ?        1:0      +  *0.999  0.001
   359          ?        2:1      +   0.193 *0.807
   360          ?        2:1      +   0.193 *0.807
   361          ?        1:0      +  *0.999  0.001
   362          ?        2:1      +   0.193 *0.807
   363          ?        2:1      +   0.193 *0.807
   364          ?        2:1      +   0.193 *0.807
   365          ?        2:1      +   0.193 *0.807
   366          ?        2:1      +   0.193 *0.807
   367          ?        1:0      +  *0.999  0.001
   368          ?        2:1      +   0.193 *0.807
   369          ?        1:0      +  *0.999  0.001
   370          ?        1:0      +  *0.999  0.001
   371          ?        2:1      +   0.193 *0.807
   372          ?        2:1      +   0.193 *0.807
   373          ?        2:1      +   0.193 *0.807
   374          ?        2:1      +   0.193 *0.807
   375          ?        2:1      +   0.193 *0.807
   376          ?        1:0      +  *1      0    
   377          ?        2:1      +   0.118 *0.882
   378          ?        2:1      +   0.118 *0.882
   379          ?        2:1      +   0.193 *0.807
   380          ?        1:0      +  *0.999  0.001
   381          ?        2:1      +   0.193 *0.807
   382          ?        1:0      +  *0.999  0.001
   383          ?        2:1      +   0.118 *0.882
   384          ?        1:0      +  *0.999  0.001
   385          ?        1:0      +  *0.999  0.001
   386          ?        2:1      +   0.193 *0.807
   387          ?        1:0      +  *0.999  0.001
   388          ?        2:1      +   0.193 *0.807
   389          ?        2:1      +   0.118 *0.882
   390          ?        1:0      +  *0.999  0.001
   391          ?        2:1      +   0.193 *0.807
   392          ?        1:0      +  *1      0    
   393          ?        2:1      +   0.118 *0.882
   394          ?        1:0      +  *0.999  0.001
   395          ?        1:0      +  *1      0    
   396          ?        2:1      +   0.118 *0.882
   397          ?        1:0      +  *0.999  0.001
   398          ?        2:1      +   0.118 *0.882
   399          ?        1:0      +  *0.999  0.001
   400          ?        1:0      +  *0.999  0.001
   401          ?        1:0      +  *0.999  0.001
   402          ?        1:0      +  *0.999  0.001
   403          ?        2:1      +   0.193 *0.807
   404          ?        2:1      +   0.193 *0.807
   405          ?        1:0      +  *1      0    
   406          ?        1:0      +  *0.999  0.001
   407          ?        2:1      +   0.193 *0.807
   408          ?        2:1      +   0.193 *0.807
   409          ?        2:1      +   0.193 *0.807
   410          ?        1:0      +  *0.999  0.001
   411          ?        2:1      +   0.118 *0.882
   412          ?        2:1      +   0.118 *0.882
   413          ?        2:1      +   0.193 *0.807
   414          ?        2:1      +   0.193 *0.807
   415          ?        1:0      +  *1      0    
   416          ?        1:0      +  *0.999  0.001
   417          ?        2:1      +   0.193 *0.807
   418          ?        1:0      +  *1      0    
   419          ?        2:1      +   0.193 *0.807
   420          ?        2:1      +   0.193 *0.807
   421          ?        2:1      +   0.118 *0.882
   422          ?        1:0      +  *0.999  0.001
   423          ?        1:0      +  *0.999  0.001
   424          ?        2:1      +   0.193 *0.807
   425          ?        1:0      +  *0.999  0.001
   426          ?        2:1      +   0.118 *0.882
   427          ?        2:1      +   0.193 *0.807
   428          ?        2:1      +   0.118 *0.882
   429          ?        2:1      +   0.193 *0.807
   430          ?        2:1      +   0.193 *0.807
   431          ?        1:0      +  *0.999  0.001
   432          ?        2:1      +   0.193 *0.807
   433          ?        1:0      +  *0.999  0.001
   434          ?        1:0      +  *1      0    
   435          ?        1:0      +  *0.955  0.045
   436          ?        1:0      +  *0.999  0.001
   437          ?        2:1      +   0.118 *0.882
   438          ?        2:1      +   0.118 *0.882
   439          ?        2:1      +   0.118 *0.882
   440          ?        1:0      +  *0.999  0.001
   441          ?        2:1      +   0.193 *0.807
   442          ?        2:1      +   0.118 *0.882
   443          ?        2:1      +   0.118 *0.882
   444          ?        1:0      +  *0.999  0.001
   445          ?        2:1      +   0.118 *0.882
   446          ?        2:1      +   0.118 *0.882
   447          ?        1:0      +  *0.955  0.045
   448          ?        2:1      +   0.193 *0.807
   449          ?        1:0      +  *0.999  0.001
   450          ?        2:1      +   0.118 *0.882
   451          ?        1:0      +  *0.999  0.001
   452          ?        2:1      +   0.118 *0.882
   453          ?        2:1      +   0.193 *0.807
   454          ?        1:0      +  *1      0    
   455          ?        1:0      +  *0.999  0.001
   456          ?        2:1      +   0.193 *0.807
   457          ?        1:0      +  *0.999  0.001
   458          ?        1:0      +  *0.999  0.001
   459          ?        2:1      +   0.193 *0.807
   460          ?        1:0      +  *0.999  0.001
   461          ?        1:0      +  *0.999  0.001
   462          ?        1:0      +  *0.999  0.001
   463          ?        1:0      +  *1      0    
   464          ?        2:1      +   0.193 *0.807
   465          ?        2:1      +   0.118 *0.882
   466          ?        2:1      +   0.193 *0.807
   467          ?        2:1      +   0.193 *0.807
   468          ?        2:1      +   0.193 *0.807
   469          ?        2:1      +   0.193 *0.807
   470          ?        2:1      +   0.193 *0.807
   471          ?        1:0      +  *1      0    
   472          ?        2:1      +   0.193 *0.807
   473          ?        2:1      +   0.193 *0.807
   474          ?        2:1      +   0.193 *0.807
   475          ?        2:1      +   0.118 *0.882
   476          ?        1:0      +  *0.999  0.001
   477          ?        2:1      +   0.193 *0.807
   478          ?        2:1      +   0.193 *0.807
   479          ?        1:0      +  *0.999  0.001
   480          ?        2:1      +   0.193 *0.807
   481          ?        1:0      +  *0.999  0.001
   482          ?        2:1      +   0.193 *0.807
   483          ?        2:1      +   0.193 *0.807
   484          ?        1:0      +  *0.999  0.001
   485          ?        1:0      +  *0.999  0.001
   486          ?        2:1      +   0.118 *0.882
   487          ?        2:1      +   0.193 *0.807
   488          ?        2:1      +   0.193 *0.807
   489          ?        2:1      +   0.193 *0.807
   490          ?        2:1      +   0.193 *0.807
   491          ?        2:1      +   0.118 *0.882
   492          ?        1:0      +  *0.999  0.001
   493          ?        2:1      +   0.118 *0.882
   494          ?        2:1      +   0.193 *0.807
   495          ?        1:0      +  *0.999  0.001
   496          ?        2:1      +   0.193 *0.807
   497          ?        1:0      +  *0.999  0.001
   498          ?        1:0      +  *0.999  0.001
   499          ?        1:0      +  *0.999  0.001
   500          ?        2:1      +   0.193 *0.807
   501          ?        2:1      +   0.118 *0.882
   502          ?        1:0      +  *1      0    
   503          ?        1:0      +  *0.999  0.001
   504          ?        2:1      +   0.118 *0.882
   505          ?        2:1      +   0.193 *0.807
   506          ?        2:1      +   0.193 *0.807
   507          ?        1:0      +  *0.999  0.001
   508          ?        2:1      +   0.118 *0.882
   509          ?        2:1      +   0.193 *0.807
   510          ?        2:1      +   0.118 *0.882
   511          ?        2:1      +   0.193 *0.807
   512          ?        2:1      +   0.193 *0.807
   513          ?        2:1      +   0.193 *0.807
   514          ?        1:0      +  *0.999  0.001
   515          ?        1:0      +  *1      0    
   516          ?        1:0      +  *0.999  0.001
   517          ?        1:0      +  *0.999  0.001
   518          ?        2:1      +   0.193 *0.807
   519          ?        1:0      +  *0.999  0.001
   520          ?        2:1      +   0.118 *0.882
   521          ?        2:1      +   0.193 *0.807
   522          ?        2:1      +   0.193 *0.807
   523          ?        1:0      +  *0.999  0.001
   524          ?        2:1      +   0.193 *0.807
   525          ?        2:1      +   0.118 *0.882
   526          ?        1:0      +  *1      0    
   527          ?        1:0      +  *0.999  0.001
   528          ?        1:0      +  *1      0    
   529          ?        2:1      +   0.118 *0.882
   530          ?        2:1      +   0.193 *0.807
   531          ?        2:1      +   0.118 *0.882
   532          ?        2:1      +   0.193 *0.807
   533          ?        1:0      +  *0.999  0.001
   534          ?        2:1      +   0.193 *0.807
   535          ?        2:1      +   0.193 *0.807
   536          ?        2:1      +   0.193 *0.807
   537          ?        1:0      +  *0.999  0.001
   538          ?        1:0      +  *0.999  0.001
   539          ?        2:1      +   0.193 *0.807
   540          ?        2:1      +   0.193 *0.807
   541          ?        1:0      +  *1      0    
   542          ?        2:1      +   0.193 *0.807
   543          ?        1:0      +  *0.999  0.001
   544          ?        2:1      +   0.118 *0.882
   545          ?        2:1      +   0.193 *0.807
   546          ?        2:1      +   0.193 *0.807
   547          ?        2:1      +   0.193 *0.807
   548          ?        2:1      +   0.118 *0.882
   549          ?        2:1      +   0.193 *0.807
   550          ?        2:1      +   0.193 *0.807
   551          ?        2:1      +   0.193 *0.807
   552          ?        1:0      +  *0.955  0.045
   553          ?        1:0      +  *1      0    
   554          ?        2:1      +   0.193 *0.807
   555          ?        2:1      +   0.193 *0.807
   556          ?        2:1      +   0.118 *0.882
   557          ?        2:1      +   0.118 *0.882
   558          ?        1:0      +  *0.999  0.001
   559          ?        1:0      +  *0.999  0.001
   560          ?        2:1      +   0.118 *0.882
   561          ?        1:0      +  *0.999  0.001
   562          ?        2:1      +   0.118 *0.882
   563          ?        2:1      +   0.193 *0.807
   564          ?        2:1      +   0.193 *0.807
   565          ?        2:1      +   0.193 *0.807
   566          ?        1:0      +  *0.999  0.001
   567          ?        2:1      +   0.193 *0.807
   568          ?        2:1      +   0.193 *0.807
   569          ?        2:1      +   0.193 *0.807
   570          ?        2:1      +   0.118 *0.882
   571          ?        2:1      +   0.193 *0.807
   572          ?        1:0      +  *0.999  0.001
   573          ?        1:0      +  *1      0    
   574          ?        1:0      +  *0.999  0.001
   575          ?        1:0      +  *0.999  0.001
   576          ?        2:1      +   0.193 *0.807
   577          ?        2:1      +   0.118 *0.882
   578          ?        1:0      +  *0.955  0.045
   579          ?        2:1      +   0.193 *0.807
   580          ?        1:0      +  *0.999  0.001
   581          ?        2:1      +   0.118 *0.882
   582          ?        2:1      +   0.193 *0.807
   583          ?        1:0      +  *0.955  0.045
   584          ?        1:0      +  *1      0    
   585          ?        1:0      +  *1      0    
   586          ?        2:1      +   0.193 *0.807
   587          ?        2:1      +   0.118 *0.882
   588          ?        1:0      +  *0.999  0.001
   589          ?        2:1      +   0.193 *0.807
   590          ?        2:1      +   0.193 *0.807
   591          ?        2:1      +   0.118 *0.882
   592          ?        2:1      +   0.118 *0.882
   593          ?        2:1      +   0.193 *0.807
   594          ?        2:1      +   0.118 *0.882
   595          ?        1:0      +  *1      0    
   596          ?        1:0      +  *0.999  0.001
   597          ?        1:0      +  *0.955  0.045
   598          ?        2:1      +   0.118 *0.882
   599          ?        1:0      +  *0.999  0.001
   600          ?        1:0      +  *0.955  0.045
   601          ?        1:0      +  *0.999  0.001
   602          ?        1:0      +  *1      0    
   603          ?        1:0      +  *0.999  0.001
   604          ?        2:1      +   0.193 *0.807
   605          ?        2:1      +   0.118 *0.882
   606          ?        2:1      +   0.118 *0.882
   607          ?        2:1      +   0.118 *0.882
   608          ?        1:0      +  *0.999  0.001
   609          ?        2:1      +   0.193 *0.807
   610          ?        2:1      +   0.193 *0.807
   611          ?        2:1      +   0.118 *0.882
   612          ?        2:1      +   0.193 *0.807
   613          ?        2:1      +   0.193 *0.807
   614          ?        1:0      +  *0.955  0.045
   615          ?        2:1      +   0.193 *0.807
   616          ?        2:1      +   0.118 *0.882
   617          ?        1:0      +  *0.955  0.045
   618          ?        1:0      +  *0.999  0.001
   619          ?        1:0      +  *0.999  0.001
   620          ?        1:0      +  *1      0    
   621          ?        1:0      +  *1      0    
   622          ?        2:1      +   0.118 *0.882
   623          ?        1:0      +  *0.999  0.001
   624          ?        1:0      +  *1      0    
   625          ?        2:1      +   0.193 *0.807
   626          ?        2:1      +   0.193 *0.807
   627          ?        2:1      +   0.193 *0.807
   628          ?        1:0      +  *0.999  0.001
   629          ?        1:0      +  *0.999  0.001
   630          ?        1:0      +  *0.999  0.001
   631          ?        1:0      +  *0.923  0.077
   632          ?        2:1      +   0.118 *0.882
   633          ?        1:0      +  *0.999  0.001
   634          ?        2:1      +   0.193 *0.807
   635          ?        2:1      +   0.193 *0.807
   636          ?        2:1      +   0.193 *0.807
   637          ?        2:1      +   0.118 *0.882
   638          ?        1:0      +  *0.923  0.077
   639          ?        2:1      +   0.118 *0.882
   640          ?        2:1      +   0.118 *0.882
   641          ?        1:0      +  *0.999  0.001
   642          ?        2:1      +   0.193 *0.807
   643          ?        1:0      +  *0.999  0.001
   644          ?        2:1      +   0.193 *0.807
   645          ?        2:1      +   0.118 *0.882
   646          ?        1:0      +  *0.999  0.001
   647          ?        2:1      +   0.193 *0.807
   648          ?        2:1      +   0.193 *0.807
   649          ?        2:1      +   0.193 *0.807
   650          ?        1:0      +  *0.999  0.001
   651          ?        1:0      +  *0.923  0.077
   652          ?        2:1      +   0.193 *0.807
   653          ?        1:0      +  *1      0    
   654          ?        2:1      +   0.193 *0.807
   655          ?        2:1      +   0.118 *0.882
   656          ?        1:0      +  *1      0    
   657          ?        1:0      +  *0.955  0.045
   658          ?        2:1      +   0.118 *0.882
   659          ?        2:1      +   0.118 *0.882
   660          ?        2:1      +   0.193 *0.807
   661          ?        2:1      +   0.193 *0.807
   662          ?        1:0      +  *1      0    
   663          ?        2:1      +   0.118 *0.882
   664          ?        1:0      +  *1      0    
   665          ?        1:0      +  *1      0    
   666          ?        2:1      +   0.193 *0.807
   667          ?        2:1      +   0.193 *0.807
   668          ?        1:0      +  *1      0    
   669          ?        2:1      +   0.193 *0.807
   670          ?        1:0      +  *0.999  0.001
   671          ?        1:0      +  *1      0    
   672          ?        1:0      +  *0.999  0.001
   673          ?        2:1      +   0.193 *0.807
